2026-08-20 21:00:00.076 INFO [RankThread][UniverseRankScript.java:402] - 检查天墟战场名人堂排名
2026-08-20 21:00:00.076 INFO [mainThread][DailyActiveScript.java:296] - 日常活动id=21【巅峰竞技】开始阶段
2026-08-20 21:00:00.078 INFO [PeakManager][PeakPkScript.java:588] - 开启巅峰竞技场活动=====>
2026-08-20 21:00:10.047 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=29994
2026-08-20 21:00:40.124 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=30078
2026-08-20 21:01:10.031 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=29907
2026-08-20 21:01:40.068 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=30037
2026-08-20 21:01:51.576 ERROR [worldMap_timer-Timer][TimerThread.java:78] - Затраченное время на таймерные события: 19, количество: 245
2026-08-20 21:02:03.057 ERROR [copyMap_timer-Timer][TimerThread.java:78] - Затраченное время на таймерные события: 23, количество: 63
2026-08-20 21:02:03.057 ERROR [worldMap_timer-Timer][TimerThread.java:78] - Затраченное время на таймерные события: 22, количество: 245
2026-08-20 21:02:10.107 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=30038
2026-08-20 21:02:24.571 ERROR [worldMap_timer-Timer][TimerThread.java:78] - Затраченное время на таймерные события: 17, количество: 245
2026-08-20 21:02:36.500 ERROR [worldMap_timer-Timer][TimerThread.java:78] - Затраченное время на таймерные события: 11, количество: 245
2026-08-20 21:02:37.114 ERROR [worldMap_timer-Timer][TimerThread.java:78] - Затраченное время на таймерные события: 21, количество: 245
2026-08-20 21:02:40.123 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=30017
2026-08-20 21:03:10.064 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=29941
2026-08-20 21:03:25.498 ERROR [worldMap_timer-Timer][TimerThread.java:78] - Затраченное время на таймерные события: 12, количество: 245
2026-08-20 21:03:30.113 ERROR [worldMap_timer-Timer][TimerThread.java:78] - Затраченное время на таймерные события: 14, количество: 245
2026-08-20 21:03:40.040 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=29976
2026-08-20 21:04:10.134 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=30091
2026-08-20 21:04:40.067 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=29936
2026-08-20 21:05:01.614 ERROR [worldMap_timer-Timer][TimerThread.java:78] - Затраченное время на таймерные события: 43, количество: 245
2026-08-20 21:05:10.091 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=30023
2026-08-20 21:05:40.043 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=29952
2026-08-20 21:05:54.716 ERROR [worldMap_timer-Timer][TimerThread.java:78] - Затраченное время на таймерные события: 36, количество: 245
2026-08-20 21:06:10.031 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=29989
2026-08-20 21:06:16.094 ERROR [copyMap_timer-Timer][TimerThread.java:78] - Затраченное время на таймерные события: 46, количество: 63
2026-08-20 21:06:16.095 ERROR [worldMap_timer-Timer][TimerThread.java:78] - Затраченное время на таймерные события: 58, количество: 245
2026-08-20 21:06:16.274 ERROR [worldMap_timer-Timer][TimerThread.java:78] - Затраченное время на таймерные события: 23, количество: 245
2026-08-20 21:06:16.692 ERROR [copyMap_timer-Timer][TimerThread.java:78] - Затраченное время на таймерные события: 108, количество: 63
2026-08-20 21:06:20.829 ERROR [worldMap_timer-Timer][TimerThread.java:78] - Затраченное время на таймерные события: 11, количество: 245
2026-08-20 21:06:24.635 ERROR [worldMap_timer-Timer][TimerThread.java:78] - Затраченное время на таймерные события: 12, количество: 245
2026-08-20 21:06:29.823 ERROR [worldMap_timer-Timer][TimerThread.java:78] - Затраченное время на таймерные события: 76, количество: 245
2026-08-20 21:06:40.081 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=30050
2026-08-20 21:07:02.785 ERROR [main_timer-Timer][TimerThread.java:78] - Затраченное время на таймерные события: 18, количество: 18
